longitude,latitude,sq,cluster,x,y
139.539036735689,35.7803252771551,23,1,-24332.05251565948,-26605.638244558082
139.51687741126,35.9017508196767,24,1,-10854.192420544568,-28565.371496038595
139.408562479802,35.9477110926584,78,1,-5717.930146482773,-38320.450986885924
139.421334012491,35.8028111758007,83,1,-21799.008110610303,-37236.01342463494
139.403083723062,35.9493889171048,118,1,-5529.6139572467655,-38813.89603567247
139.393293925827,36.0468854158472,120,1,5291.452253085095,-39648.233346817484
139.363850260264,35.9680833742719,135,1,-3439.180611910764,-42343.28892655739
139.393814438436,35.936823372256,143,1,-6920.008262626827,-39656.38405345782
139.371074343413,35.7523936971953,152,1,-27372.298318319954,-41804.83736469693
139.419563727149,35.932108255115,166,1,-7453.292634325102,-37335.31213199801
139.53344768602,35.8564831612845,172,1,-15881.18226468889,-27085.032283812277
139.389293859517,35.9690956305212,173,1,-3337.617460938636,-40047.97160785084
139.254769107039,35.7876419233294,186,1,-23405.84588523023,-52300.03307726448
139.542785042373,35.8479996790379,197,1,-16824.932763658,-26244.495322197647
139.45642867776,35.7702547323827,221,1,-25423.74802096607,-34078.07811770768
139.442943036335,35.7529872113458,225,1,-27334.708840526175,-35305.02552914885
139.495458544622,35.7787707191935,229,1,-24491.814481156413,-30545.896516534878
139.432595701542,35.8297343171729,254,1,-18816.233438479714,-36205.96413671635
139.412262854804,35.9523104025121,256,1,-5209.092869491782,-37984.420302995924
139.538325919485,35.851360788295,257,1,-16450.827159678098,-26646.153298103643
139.335600119536,35.8161786208782,260,1,-20279.960332913324,-44977.06022312271
139.378115621832,35.9079655712306,262,1,-10115.220049482305,-41087.77158194693
139.451350324638,35.7841592143099,269,1,-23879.34377518855,-34531.2301023522
139.438351250886,35.7743084227366,274,1,-24967.57745704893,-35710.75605279642
139.443708688819,35.9225627571613,276,1,-8521.304081767797,-35160.875747653445
139.485919494792,35.9134807107896,280,1,-9543.304605073761,-31355.21688451681
139.39344440314,35.862375307164,311,1,-15179.652996587567,-39726.956339993674
139.330427684062,35.8534538274946,338,1,-16142.029225870036,-45423.21300092339
139.447369434869,35.7513245782798,366,1,-27520.75286101736,-34905.44735897686
139.504064521958,35.874713179435,376,1,-13850.099825490732,-29732.055893722274
