longitude,latitude,sq,cluster,x,y
139.452143333791,35.4951243478844,16,4,-55945.73934768513,-34583.85161154734
139.252705435614,35.363194636077,18,4,-70493.7364533213,-52764.21113418433
139.357459187861,35.4553747807319,29,4,-60318.22880492313,-43195.48217715038
139.326894623772,35.3516027595342,39,4,-71816.72692115698,-46028.82833089223
139.419467389066,35.3276914645492,50,4,-74508.46419611108,-37626.17206053986
139.370524302681,35.4365956177307,53,4,-62407.2031464125,-42019.301988783125
139.417983086075,35.4672821141993,63,4,-59022.027719765436,-37696.08904783575
139.463802684376,35.4670347458618,105,4,-59065.9976744107,-33537.7061023884
139.350111565129,35.3415353107266,112,4,-72944.12562972913,-43924.13639911477
139.499161910431,35.3327543801062,119,4,-73974.1535754241,-30378.90622995004
139.409237838273,35.5251934450601,150,4,-52593.994468082674,-38462.17634491663
139.426975930078,35.3428855419468,155,4,-72825.71093288623,-36936.62318838838
139.396620179298,35.4219947540386,157,4,-64037.78375876229,-39657.149887201136
139.360259778324,35.3719044002235,169,4,-69579.51435595285,-42985.57462957414
139.41648921868,35.4728852984687,209,4,-58399.84428449208,-37829.04498119486
139.428193974353,35.5186927392857,217,4,-53322.41159589542,-36745.954982042414
139.46410291953,35.51752819788,233,4,-53464.39242077386,-33489.498231066726
139.466964357872,35.4099939715993,245,4,-65395.07239575917,-33274.22118596055
139.33010191152,35.4365673580742,249,4,-62392.39895741455,-45689.37279078569
139.404955824551,35.527881315091,273,4,-52294.12299059145,-38849.22865702216
139.291047566014,35.4007628938105,290,4,-66345.74550731247,-49257.01607215685
139.493083193825,35.4627879830919,316,4,-59546.67875128612,-30881.890604064778
139.47170721523,35.4682401771334,347,4,-58934.924581066705,-32819.81711040919
139.32471084864,35.4124776619775,348,4,-65062.373034270946,-46192.593735125956
139.379951341842,35.3457315538286,359,4,-72491.4315386382,-41209.594824378044
139.423493891461,35.5047942374054,414,4,-54862.54734583385,-37178.65940262646
139.4318505222,35.4937454271239,421,4,-56091.41455247626,-36425.56970348017
139.443738926597,35.5212416754347,434,4,-53045.313951070886,-35334.91049471659
139.456321206093,35.491886850606,469,4,-56306.36137045454,-34206.1802814957
139.494649699179,35.3597227698478,493,4,-70980.98237138614,-30778.873517339052
139.448488524561,35.5134911506639,494,4,-53906.84715523664,-34907.4909612772
139.425358507836,35.4816685373702,495,4,-57428.80122603057,-37020.1161707286
139.337202014031,35.3287825191298,501,4,-74353.080900128,-45104.69034718733
139.368431194455,35.4722888087982,511,4,-58446.543084381614,-42190.703090645155
139.405892078898,35.5025235746026,546,4,-55107.678133831825,-38776.51197955408
139.328868302916,35.3387116911932,566,4,-73247.74221479241,-45856.72882166574
139.352044322264,35.438180834171,569,4,-62223.32608887274,-43696.29039884883
139.345566956084,35.4120393126396,570,4,-65120.54664455261,-44298.68697935586
139.423931760144,35.4523977412845,574,4,-60675.53776338324,-37163.04511705225
139.31198461122,35.4010283034281,593,4,-66326.52748061158,-47355.08495913454
139.469344647868,35.453306707206,608,4,-60590.83618318243,-33040.34165458069
139.424548122337,35.5059749843128,612,4,-54731.95244110236,-37082.481329780254
139.472610221369,35.4573376374081,627,4,-60144.737975029275,-32742.281340594924
139.30027371005,35.4057243241306,636,4,-65799.88784943055,-48416.010168096764
139.308846690124,35.3866642385365,638,4,-67918.54476485681,-47648.55989049693
139.475710343888,35.35229376438,657,4,-71799.07942419173,-32503.02719759397
139.325192643422,35.3901889283814,666,4,-67535.27211643336,-46161.54131010237
139.486866636991,35.4725217647796,668,4,-58464.86354517657,-31442.332993633805
139.473163364633,35.3281497035241,676,4,-74476.69695035601,-32744.252977972155
139.316892219599,35.352027751659,719,4,-71764.88403632725,-46937.681709993674
139.455194665966,35.4694777880539,746,4,-58792.01161551848,-34317.91476181958
139.391163377322,35.4925565444638,754,4,-56207.528786842246,-40117.630461770736
139.342440704597,35.4439647339008,755,4,-61577.37725035474,-44565.02313604266
139.435034717505,35.3742406654681,767,4,-69350.24458377855,-36190.10705709687
139.45748851871,35.4983011924308,785,4,-55595.162395413965,-34097.55951961742
139.490757268761,35.4579560193843,808,4,-60082.000150143635,-31094.857200302602
139.395219180088,35.3699049973595,832,4,-69815.94512374187,-39809.967747542156
139.430064419933,35.5255695755507,839,4,-52560.19089672482,-36573.185568219225
139.495494550641,35.3869569457201,846,4,-67959.9676320781,-30691.781796741034
139.457299823587,35.5047033957704,867,4,-54884.840081636794,-34111.97143584796
139.455438929049,35.3403913800623,873,4,-73112.6475181058,-34350.46783003701
139.408312069793,35.5169286421299,891,4,-53510.53063389985,-38550.088676684594
139.451663936392,35.4843360775819,909,4,-57142.41421229299,-34631.97427934625
139.390383720297,35.4889410947226,918,4,-56608.30803888291,-40190.16871419121
139.333896560869,35.3147905369497,957,4,-75903.79674630612,-45413.02398503507
139.448713458882,35.4095684052674,969,4,-65435.98933844222,-34931.98895842967
139.377267959121,35.4196679534703,991,4,-64287.97956434451,-41415.69371089751
139.350941610307,35.3340073976954,1000,4,-73779.6174298781,-43852.75283743509
139.388889945456,35.3998274134727,1013,4,-66493.85844249697,-40370.1769610548
139.479499047341,35.3438536358556,1020,4,-72736.63536931202,-32162.029875610002
