longitude,latitude,sq,cluster,x,y
139.540672614525,35.6487463674424,9,9,-38930.2659413279,-26501.27438573833
139.369566317075,35.6422884154199,37,9,-39587.11693491647,-41998.9133915224
139.474028626345,35.7155246156465,61,9,-31501.69380109012,-32509.00385670051
139.323534283148,35.6259876714057,76,9,-41374.92428182997,-46177.00046976995
139.521097713625,35.7416960832916,98,9,-28612.711177463178,-28241.05444863503
139.351467643804,35.5548272317297,102,9,-49282.33248170931,-43685.45151981581
139.390265782111,35.6219172934207,113,9,-41855.778166120406,-40134.53150386673
139.52809044816,35.6354135222805,125,9,-40405.970955423545,-27645.221383416192
139.322214539483,35.5915327420081,136,9,-45196.806253290735,-46316.397156384206
139.418064168696,35.6748718550501,144,9,-35991.86074269563,-37591.629873863276
139.434836079577,35.5715006483404,147,9,-47466.337066351436,-36119.827704150644
139.512240402301,35.6633938966323,151,9,-37297.201271357946,-29070.593141504953
139.383592898652,35.6498383445203,154,9,-38755.41017189575,-40724.82067510264
139.514442251672,35.6199423911681,156,9,-42118.44005617546,-28886.879347688784
139.522632972292,35.699294941762,164,9,-33317.27284239186,-28117.086348350564
139.325879609673,35.6258812464146,176,9,-41387.829853734,-45964.62264998142
139.54319801434,35.5733374103681,193,9,-47296.90199826937,-26297.25921336228
139.418665494933,35.6372835505219,194,9,-40162.23047405435,-37554.788553183345
139.446801467044,35.7361717605833,204,9,-29201.664310740773,-34963.43816005202
139.480532415989,35.7416238271601,215,9,-28608.289172419813,-31910.143058254238
139.435150232948,35.6903400119038,223,9,-34282.18184568407,-36037.97430890881
139.435454562767,35.6149413019954,224,9,-42647.203140274156,-36044.28899714877
139.407961465582,35.6596088157256,234,9,-37681.27141544176,-38513.49782827347
139.412975521662,35.6582510730305,252,9,-37833.85616226122,-38060.162920488416
139.362360241303,35.5507845722751,253,9,-49735.60344387358,-42700.07606324351
139.358778402542,35.6345921910906,272,9,-40436.293155644555,-42979.998791157705
139.255341944338,35.5848163142064,275,9,-45908.41956786718,-52380.67393320744
139.430573863391,35.6585742929726,279,9,-37804.669604513794,-36466.61297542179
139.522557890987,35.639058377389,283,9,-40000.0350367832,-28145.017359958478
139.382779700281,35.6575186329247,286,9,-37903.00175332837,-40794.55213703005
139.474134651224,35.71515212387,292,9,-31543.054395054933,-32499.56218753261
139.449672786819,35.681189024775,294,9,-35302.650812520646,-34727.554765062865
139.499553787089,35.6659561442468,308,9,-37009.1125499066,-30218.23202080934
139.410251569669,35.6775101701419,312,9,-35696.14094391139,-38297.59747261678
139.423357741732,35.6089618918308,313,9,-43306.06973487325,-37142.92370890205
139.427465966145,35.6378350890224,315,9,-40104.366961603984,-36757.50855943956
139.521422695523,35.6797860892593,317,9,-35481.29017166514,-28233.4855982083
139.342833216066,35.6296141467306,320,9,-40981.48339616228,-44426.90521895597
139.385418990119,35.5745286943496,331,9,-47111.15583968209,-40597.49755744681
139.34853607142,35.5705507496749,361,9,-47536.64413229516,-43942.64255087582
