longitude,latitude,sq,cluster,x,y
139.721358232652,35.5297407098425,13,7,-52166.47078604577,-10154.673098574112
139.670606843948,35.4940201340125,14,7,-56122.865137561224,-14763.699502861327
139.745778229369,35.56428753082,21,7,-48336.102082686964,-7936.694096515504
139.653001831135,35.4999556939826,32,7,-55461.60491042817,-16359.749167465303
139.683616084311,35.5206355807812,34,7,-53172.044649982825,-13578.92691118092
139.659759909669,35.6385183251622,48,7,-40090.55136611499,-15719.564306444565
139.651153935843,35.6303168809307,51,7,-40999.02059023362,-16500.645109895708
139.604542979267,35.6491908714478,65,7,-38896.29090939835,-20717.5020584013
139.64037580162,35.6213863863743,75,7,-41987.91853012843,-17478.804321326974
139.702827886378,35.6058630652536,81,7,-43719.38962409971,-11823.94463809709
139.696381172603,35.5725074095152,84,7,-47419.08610964194,-12413.172346228395
139.626272398081,35.5475581351469,86,7,-50175.86106531974,-18773.56857876235
139.752050898344,35.6480190620738,96,7,-39047.35818909062,-7360.416690885342
139.662924293931,35.5433090589568,100,7,-50653.61622655392,-15451.267115965742
139.569222322931,35.637213294997,103,7,-40217.085287122056,-23919.44645926944
139.661386923926,35.6408719499942,124,7,-39829.69580367487,-15571.758072158247
139.677355065442,35.6585605068317,133,7,-37869.71114142286,-14122.541263841114
139.683738482471,35.5922984654023,139,7,-45221.79335713899,-13555.755101496028
139.71557476226,35.5230837470117,141,7,-52904.37805340486,-10680.040245376402
139.653508925614,35.4987090361597,142,7,-55599.991635465994,-16313.997355683698
139.702157131306,35.601277386748,148,7,-44228.04706509039,-11885.39393757254
139.664750097589,35.4932574039688,168,7,-56206.58941638237,-15295.210058877985
139.651849369662,35.6516651156944,175,7,-38630.73303726688,-16433.28568493035
139.645038389819,35.5528853854684,182,7,-49588.26990455529,-17070.98332727169
139.67570359424,35.6221548951608,185,7,-41908.36169832619,-14278.543143764375
139.712667116641,35.5165348766134,188,7,-53630.58510510018,-10944.636433629472
139.689245963822,35.6496954757223,192,7,-38854.855528991204,-13047.3597331604
139.730039458806,35.6049519879438,199,7,-43823.39371785894,-9358.64976778596
139.671041199505,35.5151184976162,205,7,-53782.30089867581,-14720.441208576929
139.690113657528,35.5628471714526,206,7,-48489.985170861706,-12982.810663505696
139.568744808677,35.5716837475469,212,7,-47486.88088750746,-23982.238362575048
139.576771618033,35.5704604609395,216,7,-47624.517538906075,-23255.042246326062
139.714110262756,35.6404324098089,220,7,-39885.528484491166,-10797.099607238262
139.701377286098,35.5691917436798,241,7,-47787.544487386476,-11960.823411629437
139.701751271597,35.5289424814081,243,7,-52252.82948053582,-11932.886454583982
139.582107604081,35.5534639753038,246,7,-49511.35701948777,-22776.18988845956
139.618199378539,35.6091766276157,248,7,-43338.31523341965,-19490.591213201278
139.714613626498,35.5359632461638,259,7,-51475.431087546516,-10765.489402919697
139.743148684577,35.6469845382179,281,7,-39161.426744546276,-8166.649638774484
139.673943488196,35.5544913334858,285,7,-49414.72958291322,-14450.131370131607
139.716144940285,35.5963989199942,288,7,-44770.86600402184,-10618.653700548
139.643912847428,35.584033093752,295,7,-46132.54371087672,-17166.38100441702
139.617228331572,35.6481390908683,306,7,-39015.576428472996,-19569.06840574446
139.661879202298,35.5817724137681,307,7,-46386.328103481326,-15538.600957018463
139.629299749729,35.5821476071051,314,7,-46339.0744401468,-18491.139713399753
139.667768238222,35.5506090494665,319,7,-49844.50618851045,-15010.69780274387
139.732284564672,35.5809806810958,323,7,-46482.99208998168,-9157.968021392562
139.749261128338,35.615618599458,325,7,-42641.689794305246,-7616.1131882667405
139.568081462802,35.614065299188,333,7,-42784.8774708556,-24029.69489470507
139.61517939454,35.6208350198923,334,7,-42044.318636207376,-19761.326750380947
139.712281240821,35.6118389427406,337,7,-43057.51595096337,-10966.643795080181
139.618372606536,35.5130490168154,339,7,-54002.751070188824,-19498.166171120698
139.698050932839,35.603631182453,365,7,-43966.411808517296,-12257.082784360764
139.630926043674,35.5879998359919,375,7,-45690.12966890866,-18342.417203901772
139.752055186435,35.6496377331867,378,7,-38867.780797705054,-7359.879919969743
139.620877179469,35.5235407816288,379,7,-52839.29475861834,-19268.479310003655
139.651987258252,35.6052470767373,387,7,-43780.4296359322,-16430.29465404342
139.63045251841,35.5648114610627,391,7,-48262.56660468783,-18390.628369066904
139.734790610148,35.6497964384644,396,7,-38848.74398204917,-8923.200636210222
139.577357963229,35.6183821262849,398,7,-42308.189589406364,-23188.070396775198
139.717409172987,35.6149393663122,407,7,-42714.11180902226,-10501.67630968249
139.660972566306,35.6546971672895,425,7,-38295.83903821558,-15606.593957931424
139.612079571666,35.5520388899045,444,7,-49675.97045581741,-20059.273794937602
139.709077014391,35.5941597582342,446,7,-45018.494290595874,-11259.405225963947
139.635097732746,35.6186713709353,447,7,-42288.174690357875,-17957.51881084688
139.636234147304,35.6407515243485,458,7,-39838.781288377475,-17849.665630884723
139.614713569508,35.5621822829974,460,7,-48551.195618308615,-19817.973418686408
139.619576209799,35.6511194471086,486,7,-38685.39553855825,-19355.74049243097
139.698428687215,35.6398297103824,488,7,-39950.55758838728,-12217.349603787601
139.65082210699,35.5609883974311,489,7,-48690.30918193748,-16544.96073034526
139.719567513102,35.6112690485046,510,7,-43121.528106265236,-10306.621011182804
139.756042170841,35.6429119208652,515,7,-39614.24296699138,-6999.437970266798
139.686206616272,35.5285008191861,518,7,-52299.83471996663,-13342.670976875243
139.703899345829,35.6112673666436,520,7,-43119.96053728694,-11726.080506570454
139.644487075607,35.5434565795275,529,7,-50634.20361950807,-17122.9704689758
139.624305265873,35.6501699869384,532,7,-38791.651096181944,-18927.747092509726
139.667654502048,35.494879059868,533,7,-56027.13129644329,-15031.397125888378
139.709478207609,35.6480838835487,534,7,-39036.14470018586,-11215.519430981547
139.673540556117,35.6181799962563,544,7,-42349.024921983946,-14475.193636105692
139.722527709958,35.5622177127238,550,7,-48563.60556179471,-10044.565967364722
139.605094882596,35.6082142964535,559,7,-43442.40251951432,-20678.074947584333
139.714999466454,35.5733012045384,572,7,-47333.20944152633,-10725.526856491888
139.641064678833,35.5628180501764,577,7,-48485.6450531045,-17429.093507410857
139.659600321257,35.5036901353874,589,7,-55048.384293538984,-15760.401243424601
139.703654926665,35.660722447759,595,7,-37633.32216192782,-11740.988574932711
139.72581482899,35.5564975785311,597,7,-49198.52641054476,-9747.279967517788
139.671281614223,35.5214311139498,598,7,-53082.02048542537,-14697.484034719355
139.638779757506,35.5039432901512,602,7,-55016.774191005155,-17649.11084972525
139.564742847984,35.6223844042566,616,7,-41861.125129029155,-24329.627673289113
139.606265639171,35.5699907390651,617,7,-47683.19193268567,-20581.78629125084
139.683787864399,35.5210974579866,618,7,-53120.82801457541,-13563.269233005689
139.639268724117,35.5310188034044,621,7,-52013.12590711517,-17598.843191854863
139.677592482964,35.6605818453898,624,7,-37645.49441360682,-14100.68970216421
139.660746681679,35.4909615609569,645,7,-56460.65934361378,-15658.877534746727
139.692718357117,35.5358733756759,654,7,-51482.789671533275,-12750.965344610662
139.734975908647,35.5853800202115,659,7,-45995.17527051922,-8913.566092268104
139.693418966957,35.5338133872461,667,7,-51711.41397831915,-12687.758357376688
139.735123767904,35.5282092754423,681,7,-52337.69759997493,-8906.48838507103
139.697111161323,35.6149042695251,683,7,-42715.64927838184,-12340.498287966524
139.717881373275,35.646459167653,690,7,-39217.31918009976,-10454.794404381251
139.563889217795,35.579746659124,699,7,-46591.184618889354,-24419.901658274062
139.667395201389,35.4997297138338,700,7,-55488.966194323264,-15054.017520340249
139.705669258923,35.5514026385956,702,7,-49761.57811549725,-11574.345441296946
139.705636789026,35.5349035050027,709,7,-51591.98075304832,-11579.660711873044
139.579878018525,35.6235988511882,710,7,-41730.03066799417,-22958.294261705083
139.730092384317,35.5718263252894,711,7,-47498.37143843202,-9357.708280291155
139.63096786136,35.5957318159503,715,7,-44832.34709370183,-18336.864327966876
139.706341946809,35.6202949572543,716,7,-42118.71995926602,-11503.500093671024
139.687280412571,35.5796298670217,720,7,-46627.734255266376,-13236.88256269386
139.621122730025,35.582790706382,734,7,-46266.162406969815,-19232.053340593277
139.717809659155,35.5703548043197,744,7,-47660.385660859756,-10471.200322113635
139.668868493946,35.5099104128289,752,7,-54359.75440347381,-14918.47645868952
139.670118670483,35.5116717713114,758,7,-54164.53939204756,-14804.750501100403
139.692453007413,35.5723967936933,763,7,-47430.85566183692,-12769.234103872386
139.588474162286,35.6005153890582,770,7,-44292.90665766457,-22186.01624390431
139.704396899633,35.6522139515426,774,7,-38577.35707936576,-11675.049109225185
139.661191464297,35.5861975711989,779,7,-45895.29073172249,-15600.071282666619
139.699701021691,35.6143198148683,780,7,-42780.81093470985,-12105.968257996517
139.679119279576,35.6191795830396,783,7,-42238.93626818992,-13969.657997337763
139.630766992608,35.5762618711567,787,7,-46992.31458892999,-18359.509529832943
139.6393116277,35.625356850604,790,7,-41547.24107907619,-17574.33242487853
139.725409774985,35.6108622373784,800,7,-43167.256276517175,-9777.390252402363
139.700841361172,35.6451055550944,811,7,-39365.54514592141,-11998.06213021085
139.715356577859,35.6485627855467,820,7,-38983.6693135486,-10683.148217851567
139.645123601968,35.656807743615,825,7,-38059.05594275519,-17041.208993786164
139.695992430441,35.6159210272102,830,7,-42602.70837714104,-12441.687805002786
139.694766401141,35.5825702316387,834,7,-46302.50990224723,-12557.962492873516
139.714971767596,35.6448254442169,840,7,-39398.25348049449,-10718.493130914272
139.755388681926,35.6473453854287,855,7,-39122.341599516105,-7058.227582340193
139.699327683158,35.5839475206788,860,7,-46150.28519226238,-12144.377110001513
139.63040476697,35.5307242071344,871,7,-52044.18987428257,-18402.743790132088
139.72435846006,35.634703502895,876,7,-40522.177623929456,-9869.704612218904
139.63015826477,35.5852618031859,920,7,-45993.74505370762,-18412.62127437127
139.663442364915,35.5766136632058,952,7,-46958.88689710153,-15397.921372765493
139.668981059796,35.5419959441642,958,7,-50800.22528823372,-14902.332631477731
139.64285475372,35.6281650065447,977,7,-41236.32814310817,-17252.795183885537
139.621175548474,35.5146734909852,978,7,-53823.08373324713,-19243.53529020156
139.729486323957,35.5270442174127,980,7,-52466.42439114349,-9417.876614422168
139.756363704946,35.6399698323055,982,7,-39940.66495327698,-6970.575547682629
139.576226964819,35.6168350324411,986,7,-42479.5588673451,-23290.973045665574
139.685298091498,35.5697040792566,994,7,-47728.634480512235,-13418.197068379059
139.66287393561,35.5019565928267,995,7,-55241.21959083201,-15463.763328322431
139.60407414739,35.569138123333,1010,7,-47777.321182517335,-20780.647187575985
139.732952747043,35.6044278168759,1018,7,-43881.818729505874,-9094.758739835865
139.644529219342,35.5470010231731,1022,7,-50240.99144384544,-17118.395943767886
139.716144442095,35.6488624711845,1025,7,-38950.5070753512,-10611.765088776356
139.707125839642,35.6253650118884,1036,7,-41556.3343246798,-11431.769568241822
139.735542400862,35.5861525523855,1045,7,-45909.521457388066,-8862.14303108412
139.737543542799,35.660674943051,1049,7,-37642.11191540165,-8672.741979718983
139.572277368939,35.5876236293834,1058,7,-45719.35671098856,-23657.3592378136
139.566613339934,35.6395229235888,1059,7,-39960.2136310474,-24155.036840641125
139.612178978107,35.5338139741172,1065,7,-51697.85784628568,-20054.79808233413
139.621885000937,35.5225497322281,1070,7,-52949.43758604303,-19177.311660408443
139.633523599623,35.5362476428411,1081,7,-51432.000342349056,-18118.667568781362
139.730179813214,35.5959376058931,1083,7,-44823.46778036887,-9346.98146062816
139.738947566558,35.5760648697082,1103,7,-47028.952235730365,-8554.628079042335
139.731903256881,35.6054989469516,1105,7,-43762.88936320972,-9189.72300894909
139.644812069371,35.6403500074681,1113,7,-39884.84944437258,-17072.917671398576
139.645960725132,35.6206009049639,1117,7,-42076.03864645772,-16973.06675166671
139.687898472411,35.5054709138095,1124,7,-54854.97920318367,-13193.006863090848
139.723353232506,35.6100692817225,1139,7,-43255.02109147096,-9963.802172762578
139.70355995389,35.6538381178592,1150,7,-38397.06977836974,-11750.595763650912
139.691214586839,35.5453861409242,1155,7,-50427.25246746,-12885.805690085524
139.62863059429,35.5638874840959,1162,7,-48364.731024585664,-18555.99437642519
139.654835137373,35.4941115781168,1164,7,-56110.24646752747,-16194.603518660171
139.727195787059,35.6385621529258,1175,7,-40094.37523269933,-9612.269668056008
139.661835294084,35.4903740629719,1178,7,-56526.00776685774,-15560.220323689162
139.730168846629,35.5672393731751,1183,7,-48007.25518928515,-9351.310753779298
139.649113939582,35.5682905798995,1187,7,-47879.91653847555,-16698.29431640078
139.63909209949,35.5035195556753,1206,7,-55063.83867721027,-17620.86897014301
139.639107046688,35.6174647571615,1207,7,-42422.76211351901,-17594.591907965038
139.726503442199,35.6402993955332,1210,7,-39901.57538391277,-9674.762009947235
139.710618073606,35.6177607694695,1214,7,-42400.35674096132,-11116.498135645794
139.748558853674,35.5563982232434,1220,7,-49211.56088254787,-7685.389153410335
139.680148172285,35.5988935017542,1223,7,-44489.636039010715,-13879.957934103868
139.64731668804,35.5050927280395,1225,7,-54890.750478242524,-16874.43380518158
139.707839597714,35.6607601629656,1226,7,-37629.62982692337,-11362.105961396268
139.564655094334,35.6442029038047,1227,7,-39440.52597008692,-24330.963638697707
139.645404105151,35.5063717790038,1249,7,-54748.5250626239,-17047.662976053474
139.652075539456,35.6241601105051,1251,7,-41682.214258106425,-16418.430762076703
139.619073373643,35.6550354596027,1252,7,-38250.84718036465,-19400.325483804907
139.651945817615,35.6335972868097,1254,7,-40635.220736006275,-16428.250231604416
139.637656608546,35.5912499262505,1263,7,-45330.796030075755,-17731.76704492896
139.648196036398,35.5419770030489,1270,7,-50798.98533181101,-16786.98142470368
139.721384389633,35.6552035207221,1275,7,-38247.57426964445,-10136.472575537578
139.574342656112,35.6047086216816,1280,7,-43824.42819540948,-23465.211735464127
139.585990669153,35.5885449061421,1297,7,-45620.35827885708,-22414.376045927904
139.668853044114,35.511327157125,1298,7,-54202.57985715568,-14919.615821381218
