longitude,latitude,sq,cluster,x,y
139.690481415903,35.6810519418398,251,3,-35376.275194741786,-12930.430343516608
139.68620700779,35.6904380997103,261,3,-34334.383042514324,-13315.774500440133
139.674274670699,35.6662575563651,263,3,-37015.33963643992,-14400.063673527324
139.651649492219,35.6637952510997,264,3,-37284.96111114137,-16448.896907691294
139.656392132334,35.713953026434,266,3,-31721.124671814498,-16009.492313354202
139.705064406122,35.7743150399014,270,3,-25031.213158712257,-11596.90483780246
139.68411000993,35.7294552161772,277,3,-30005.434061337262,-13498.984652665002
139.6309988343,35.6700012862972,289,3,-36592.79840219719,-18317.10600443672
139.562715395867,35.7167240192352,297,3,-31394.37818705244,-24484.45443374441
139.713867426984,35.7481076741068,300,3,-27939.757540675346,-10804.558654239943
139.633135837982,35.7357180011087,303,3,-29302.409854383208,-18108.778628687614
139.678365884388,35.8121326835073,324,3,-20832.076848288532,-14004.10604587602
139.711692097916,35.7995232747035,344,3,-22235.273710282054,-10994.217085535429
139.67098946917,35.7439282523612,345,3,-28397.864971156232,-14683.233844417895
139.685319150465,35.7678345007542,346,3,-25747.672529775184,-13383.177407963045
139.625749966392,35.7873525918124,350,3,-23572.48755242396,-18764.736113188577
139.727868068291,35.7136113462911,351,3,-31768.33516310854,-9542.446820005409
139.637382479634,35.712956011372,352,3,-31828.469138106797,-17729.69270925228
139.654880685531,35.6721752155353,354,3,-36355.80765961623,-16154.669446679187
139.688871099158,35.7219825937386,357,3,-30835.113370972686,-13069.509004926755
139.572828380602,35.8222499702214,360,3,-19689.382373280358,-23538.35448019424
139.654472534511,35.6783331978125,362,3,-35672.56116573,-16190.374146360095
139.610346604012,35.7385212503023,363,3,-28986.961924961768,-20169.465243424875
139.615887232492,35.7288743589189,364,3,-30058.344316138886,-19670.67894638008
139.583897074761,35.7663773507804,373,3,-25890.743268765975,-22554.006022353093
139.539181493312,35.7606382089276,374,3,-26516.256334857084,-26599.106206113174
139.597551023443,35.791910275985,382,3,-23061.07094079256,-21312.599258533035
139.691614224789,35.679628748635,383,3,-35534.31576114567,-12828.120368513493
139.578949629455,35.7472544849631,385,3,-28011.1561917956,-23006.858768856746
139.707672174035,35.7585701078562,386,3,-26778.319080178626,-11363.373365146044
139.710968576347,35.7034348806865,390,3,-32895.564050836954,-11072.91279128776
139.710489285902,35.8100332612242,392,3,-21069.114185503684,-11101.467517032572
139.685804709278,35.7104011072936,394,3,-32119.582852785476,-13348.857065508686
139.60318537833,35.7804444917753,397,3,-24334.3446639427,-20806.29134819542
139.617136115231,35.6845801171702,402,3,-34972.718174785376,-19568.52420745114
139.71837582272,35.7334120711199,406,3,-29570.62176360376,-10398.727574991282
139.693049781883,35.7291060520845,417,3,-30045.36448350316,-12690.333185131794
139.687973693597,35.7637584352857,419,3,-26200.24541950738,-13143.82875376798
139.563606735805,35.7524095074515,424,3,-27435.53126423061,-24392.924160863684
139.578079754709,35.8050162461267,430,3,-21602.624459978193,-23068.84122700479
139.655835551811,35.7207988192946,432,3,-30961.542004086543,-16058.47774068034
139.639316990337,35.6983489579403,435,3,-33449.362247607205,-17557.860029337215
139.555783492198,35.7452354975708,436,3,-28229.467986154836,-25102.679263354697
139.737723894039,35.7055393712482,440,3,-32664.774309004657,-8651.568359063747
139.708106581668,35.7494188450765,442,3,-27793.64187893737,-11325.387011282732
139.55825355184,35.7018250404063,445,3,-33046.19236980099,-24892.777611111094
139.683935935544,35.7531060500577,448,3,-27381.510020474438,-13510.735257582553
139.729953697611,35.7234669780565,453,3,-30675.12498818524,-9352.588245145722
139.651752282187,35.7392251761339,459,3,-28916.5892445934,-16424.11401242019
139.588071077634,35.746040956085,462,3,-28147.890812326223,-22182.23581776625
139.658379032422,35.7124958057241,464,3,-31883.115025524516,-15830.007232974185
139.572576338947,35.8304632898691,468,3,-18778.094546398148,-23558.700752667253
139.664331999304,35.6783124299425,472,3,-35676.44533220725,-15297.90430563436
139.554744059853,35.7601762661393,481,3,-26571.61659302702,-25191.98056610109
139.629143170984,35.69692216077,483,3,-33605.787809291855,-18478.888615220367
139.628150455993,35.7824523294267,499,3,-24116.600079719443,-18548.87924896326
139.679454297226,35.7344568637881,505,3,-29449.885372521356,-13919.277998495376
139.720375158016,35.7814672134532,519,3,-24239.426917574834,-10211.731287376373
139.708339812482,35.8021444340766,524,3,-21944.089556819294,-11296.833466676186
139.701315401418,35.7688582390589,525,3,-25636.161138304975,-11936.671203256781
139.605278349873,35.7869239727203,526,3,-23615.926321251318,-20615.40498741145
139.741049556549,35.712584725957,528,3,-31883.432547858916,-8349.898784717157
139.657542765764,35.718141275356,530,3,-31256.655601002276,-15904.551618315438
139.601194864561,35.7897573960551,538,3,-23300.707334067672,-20983.794181765963
139.731799304462,35.6737138302068,539,3,-36195.03214843664,-9191.326864839251
139.659181134844,35.7412986905787,541,3,-28687.76519389404,-15751.760771844974
139.610346409937,35.6754524947285,543,3,-35983.98326854594,-20185.376218502217
139.658828981346,35.7390335290072,548,3,-28939.012995899655,-15784.059543967544
139.700626513002,35.7550787694623,551,3,-27164.82091059303,-12001.027827186252
139.656054520347,35.7676338166909,552,3,-25765.546729604248,-16029.275609390499
