"longitude","latitude","sq","cluster"
139.779995206379,35.7711880108984,158,8
139.508698423916,36.0653296742855,159,2
139.54243979259,35.7506258813063,160,3
139.615288225251,35.7037339528355,161,3
139.700448054287,35.7742831233521,162,3
139.573638779174,36.007694394123,163,2
139.522632972292,35.699294941762,164,9
140.013249240868,35.7620557766391,165,5
139.419563727149,35.932108255115,166,1
139.572986169644,35.4230480083429,167,10
139.664750097589,35.4932574039688,168,7
139.360259778324,35.3719044002235,169,4
139.640530468364,35.4939802571303,170,10
139.746528860035,35.7585669669513,171,8
139.53344768602,35.8564831612845,172,1
139.389293859517,35.9690956305212,173,1
139.792106745359,35.7112271597228,174,8
139.651849369662,35.6516651156944,175,7
139.325879609673,35.6258812464146,176,9
139.660274817849,35.6738682766572,177,3
139.919370886683,35.8821734850575,178,5
139.625602639145,35.9402372616075,179,2
139.610672117412,35.9475095320883,180,2
139.583396489575,35.4736243959609,181,10
139.645038389819,35.5528853854684,182,7
139.540244861072,35.3139635988493,183,10
139.692519808772,35.8280219699135,184,2
139.67570359424,35.6221548951608,185,7
139.254769107039,35.7876419233294,186,1
139.623296375739,35.3757607597675,187,10
139.712667116641,35.5165348766134,188,7
139.692315955336,35.767347805356,189,3
139.782235102526,35.730801804387,190,8
139.901651877455,35.735807758746,191,8
139.689245963822,35.6496954757223,192,7
139.54319801434,35.5733374103681,193,9
139.418665494933,35.6372835505219,194,9
139.776559222642,35.7004055168678,195,8
139.774237354483,35.6548591855009,196,8
139.542785042373,35.8479996790379,197,1
139.609259124803,35.7232373369203,198,3
139.730039458806,35.6049519879438,199,7
139.879610787788,35.7783966762247,200,8
140.042866606641,35.6666402876915,201,6
139.666441883177,35.4268787769007,202,10
139.575266009195,35.7535273776717,203,3
139.446801467044,35.7361717605833,204,9
139.671041199505,35.5151184976162,205,7
139.690113657528,35.5628471714526,206,7
139.884244047729,35.8408297692506,207,5
139.823624904505,35.8554136182511,208,8
139.41648921868,35.4728852984687,209,4
139.546918083947,35.4298680570019,210,10
139.603592573063,35.875107288206,211,2
139.568744808677,35.5716837475469,212,7
139.623466984654,35.7027331343265,213,3
139.668319957959,35.7203452716604,214,3
139.480532415989,35.7416238271601,215,9
139.576771618033,35.5704604609395,216,7
139.428193974353,35.5186927392857,217,4
139.70575413169,35.8003465221067,218,3
139.920253361737,35.6411124473626,219,8
139.714110262756,35.6404324098089,220,7
139.45642867776,35.7702547323827,221,1
139.744475166182,35.8706462007215,222,2
139.435150232948,35.6903400119038,223,9
139.435454562767,35.6149413019954,224,9
139.442943036335,35.7529872113458,225,1
139.906910072112,35.8352900384149,226,5
139.526486635629,36.033894623208,227,2
139.719403783132,35.8099544510818,228,3
139.495458544622,35.7787707191935,229,1
139.556289207428,35.3953066642513,230,10
139.811711321959,35.7253159742649,231,8
139.64775254181,35.7542048263459,232,3
139.46410291953,35.51752819788,233,4
139.407961465582,35.6596088157256,234,9
139.617979538304,35.3104436237348,235,10
139.839146774443,35.7507656984213,236,8
139.95860091124,35.8615431077583,237,5
139.506439080415,35.3266045872045,238,10
139.777059394188,35.6547026825139,239,8
139.88816855665,35.744653676533,240,8
139.701377286098,35.5691917436798,241,7
139.788800752626,35.7325425024075,242,8
139.701751271597,35.5289424814081,243,7
139.705209587121,35.7484575980316,244,3
139.466964357872,35.4099939715993,245,4
139.582107604081,35.5534639753038,246,7
139.685263295528,35.7037105663198,247,3
139.618199378539,35.6091766276157,248,7
139.33010191152,35.4365673580742,249,4
140.01571495488,35.9382652337075,250,5
139.690481415903,35.6810519418398,251,3
139.412975521662,35.6582510730305,252,9
139.362360241303,35.5507845722751,253,9
139.432595701542,35.8297343171729,254,1
139.954721160982,35.3733469642319,255,6
139.412262854804,35.9523104025121,256,1
139.538325919485,35.851360788295,257,1
139.792087008664,35.7250289247205,258,8
139.714613626498,35.5359632461638,259,7
139.335600119536,35.8161786208782,260,1
139.68620700779,35.6904380997103,261,3
139.378115621832,35.9079655712306,262,1
139.674274670699,35.6662575563651,263,3
139.651649492219,35.6637952510997,264,3
139.941486065342,35.8784820089859,265,5
139.656392132334,35.713953026434,266,3
139.901246133657,35.8111803320226,267,5
140.135311634154,35.6204085657093,268,6
139.451350324638,35.7841592143099,269,1
139.705064406122,35.7743150399014,270,3
139.917305669551,35.7194863384067,271,8
139.358778402542,35.6345921910906,272,9
139.404955824551,35.527881315091,273,4
139.438351250886,35.7743084227366,274,1
139.255341944338,35.5848163142064,275,9
139.443708688819,35.9225627571613,276,1
139.68411000993,35.7294552161772,277,3
139.926637358519,35.7550758299306,278,8
139.430573863391,35.6585742929726,279,9
139.485919494792,35.9134807107896,280,1
139.743148684577,35.6469845382179,281,7
139.558394845488,35.4629376672608,282,10
139.522557890987,35.639058377389,283,9
140.11751494492,36.0669821617243,284,5
139.673943488196,35.5544913334858,285,7
139.382779700281,35.6575186329247,286,9
139.875688108089,35.7312860140861,287,8
139.716144940285,35.5963989199942,288,7
139.6309988343,35.6700012862972,289,3
139.291047566014,35.4007628938105,290,4
139.582497444276,35.4653421948687,291,10
139.474134651224,35.71515212387,292,9
139.616257124774,35.427936771232,293,10
139.449672786819,35.681189024775,294,9
139.643912847428,35.584033093752,295,7
140.002831406946,35.6932431566538,296,6
139.562715395867,35.7167240192352,297,3
139.774394415698,35.6758721985892,298,8
139.624983949715,35.4751123922142,299,10
139.713867426984,35.7481076741068,300,3
139.873520293672,35.7586498174271,301,8
139.563340045789,35.9770700223126,302,2
139.633135837982,35.7357180011087,303,3
139.562826478281,35.9538486004606,304,2
139.616840645093,35.4310962997019,305,10
139.617228331572,35.6481390908683,306,7
139.661879202298,35.5817724137681,307,7
139.499553787089,35.6659561442468,308,9
139.889118978243,35.6927694206169,309,8
139.80627588548,35.7977126552223,310,8
139.39344440314,35.862375307164,311,1
139.410251569669,35.6775101701419,312,9
139.423357741732,35.6089618918308,313,9
139.629299749729,35.5821476071051,314,7
139.427465966145,35.6378350890224,315,9
139.493083193825,35.4627879830919,316,4
139.521422695523,35.6797860892593,317,9
139.856344080427,35.6621750193457,318,8
139.667768238222,35.5506090494665,319,7
139.342833216066,35.6296141467306,320,9
139.601110824509,35.5021325409342,321,10
139.782898221223,35.8445804951349,322,8
139.732284564672,35.5809806810958,323,7
139.678365884388,35.8121326835073,324,3
139.749261128338,35.615618599458,325,7
139.523998798723,36.0346519464981,326,2
139.895605464124,35.7877822956073,327,8
139.505929741245,35.3262990719612,328,10
140.102978787515,35.5210185198467,329,6
139.586053380548,35.4705646782173,330,10
139.385418990119,35.5745286943496,331,9
140.081186095774,35.731729841531,332,6
139.568081462802,35.614065299188,333,7
139.61517939454,35.6208350198923,334,7
139.786270411873,35.7165229443434,335,8
140.041648675192,35.4750121727213,336,6
139.712281240821,35.6118389427406,337,7
139.330427684062,35.8534538274946,338,1
139.618372606536,35.5130490168154,339,7
139.522015417229,35.4191178200636,340,10
139.883507285631,35.7328724377507,341,8
139.688873449031,36.06511150706,342,2
139.868788078382,35.7729891996798,343,8
139.711692097916,35.7995232747035,344,3
139.67098946917,35.7439282523612,345,3
139.685319150465,35.7678345007542,346,3
139.47170721523,35.4682401771334,347,4
139.32471084864,35.4124776619775,348,4
139.607750209045,35.4289048648659,349,10
139.625749966392,35.7873525918124,350,3
139.727868068291,35.7136113462911,351,3
139.637382479634,35.712956011372,352,3
139.788754673108,35.8292327397104,353,8
139.654880685531,35.6721752155353,354,3
139.868810303772,35.7479768253705,355,8
139.82977241127,35.7772915727302,356,8
139.688871099158,35.7219825937386,357,3
139.804021006196,35.736967852956,358,8
139.379951341842,35.3457315538286,359,4
139.572828380602,35.8222499702214,360,3
139.34853607142,35.5705507496749,361,9
139.654472534511,35.6783331978125,362,3
139.610346604012,35.7385212503023,363,3
139.615887232492,35.7288743589189,364,3
139.698050932839,35.603631182453,365,7
139.447369434869,35.7513245782798,366,1
139.523784742767,35.6346280422614,367,9
139.771400050606,35.7481194016039,368,8
139.779543846533,35.9280708116946,369,2
139.526797934406,35.5348921256764,370,10
139.976107854984,35.872248795532,371,5
139.962652373052,35.8145226376836,372,5
139.583897074761,35.7663773507804,373,3
139.539181493312,35.7606382089276,374,3
139.630926043674,35.5879998359919,375,7
139.504064521958,35.874713179435,376,1
139.502065032751,35.6006265408095,377,9
139.752055186435,35.6496377331867,378,7
139.620877179469,35.5235407816288,379,7
139.701861453686,35.8534392789029,380,2
139.524560961463,35.4540374538616,381,10
139.597551023443,35.791910275985,382,3
139.691614224789,35.679628748635,383,3
139.296853263898,35.6870516224051,384,9
139.578949629455,35.7472544849631,385,3
139.707672174035,35.7585701078562,386,3
139.651987258252,35.6052470767373,387,7
139.464125329451,35.5458816930899,388,9
139.773968058095,35.6582789942695,389,8
139.710968576347,35.7034348806865,390,3
139.63045251841,35.5648114610627,391,7
139.710489285902,35.8100332612242,392,3
139.893610161158,35.6480423103791,393,8
139.685804709278,35.7104011072936,394,3
139.621269383546,35.3074264599139,395,10
139.734790610148,35.6497964384644,396,7
139.60318537833,35.7804444917753,397,3
139.577357963229,35.6183821262849,398,7
139.534707385489,36.0143914703637,399,2
139.516621029432,35.7681118663884,400,1
139.776070817068,35.706366796427,401,8
139.617136115231,35.6845801171702,402,3
140.129568994835,35.633142934325,403,6
139.284975737815,35.6367368258096,404,9
140.14426401353,35.6300358113496,405,6
139.71837582272,35.7334120711199,406,3
139.717409172987,35.6149393663122,407,7
139.600106870106,35.4311109708414,408,10
139.533313939357,35.5501009782753,409,9
139.882592277347,35.6822012636863,410,8
139.507855204559,35.6717219231849,411,9
139.920237826409,35.8196021099266,412,5
139.385690391664,35.6092502975895,413,9
139.423493891461,35.5047942374054,414,4
139.41869737778,35.6151677116782,415,9
139.861090541292,35.7860104380185,416,8
139.693049781883,35.7291060520845,417,3
139.963860699138,35.7936780670696,418,5
139.687973693597,35.7637584352857,419,3
139.499539044438,35.7931504002024,420,1
139.4318505222,35.4937454271239,421,4
139.401133549088,35.5820537969954,422,9
139.623594316662,35.4341953602057,423,10
139.563606735805,35.7524095074515,424,3
139.660972566306,35.6546971672895,425,7
139.818643024202,35.7977026267929,426,8
140.115812430945,35.6848279986242,427,6
139.843114588525,35.7797721076558,428,8
139.360437417826,35.5952644317671,429,9
139.578079754709,35.8050162461267,430,3
139.480044661009,35.7146629969414,431,9
139.655835551811,35.7207988192946,432,3
139.638990594445,35.9744416784882,433,2
139.443738926597,35.5212416754347,434,4
139.639316990337,35.6983489579403,435,3
139.555783492198,35.7452354975708,436,3
139.714348210495,35.8267954075176,437,2
139.912594138013,35.7502593133967,438,8
139.546979783356,35.4821084895034,439,10
139.737723894039,35.7055393712482,440,3
139.61708009571,35.3832019977629,441,10
139.708106581668,35.7494188450765,442,3
139.737034693887,35.8249860842799,443,2
139.612079571666,35.5520388899045,444,7
139.55825355184,35.7018250404063,445,3
139.709077014391,35.5941597582342,446,7
139.635097732746,35.6186713709353,447,7
139.683935935544,35.7531060500577,448,3
139.319009548082,35.8527644355445,449,1
139.416332026334,35.8183612678462,450,1
139.592650264604,35.4154611090341,451,10
139.345584899529,35.5967083802362,452,9
139.729953697611,35.7234669780565,453,3
139.244312742191,35.7900177716108,454,1
139.804865740886,35.7766708949721,455,8
139.933665990307,35.3630014140851,456,6
139.602905697115,35.4020915510485,457,10
139.636234147304,35.6407515243485,458,7
139.651752282187,35.7392251761339,459,3
139.614713569508,35.5621822829974,460,7
140.13396372142,35.9327462219214,461,5
139.588071077634,35.746040956085,462,3
139.43602381626,35.7287015983964,463,9
139.658379032422,35.7124958057241,464,3
140.158790531884,36.0057110594451,465,5
139.513009250291,35.6903088822456,466,9
139.515550192832,35.7897146534539,467,1
139.572576338947,35.8304632898691,468,3
139.456321206093,35.491886850606,469,4
139.361520221413,35.9816000223923,470,1
139.722178593345,35.826543658451,471,2
139.664331999304,35.6783124299425,472,3
139.683217612481,35.9425617803371,473,2
140.063238792801,35.6331238195179,474,6
139.431002163653,35.6241755167405,475,9
139.445209887989,35.7901631115111,476,1
139.324864901512,35.6499095139289,477,9
139.789956270144,35.8099973094232,478,8
139.848514078496,35.6971825609541,479,8
139.526677425924,35.6407327195063,480,9
139.554744059853,35.7601762661393,481,3
139.492099772244,35.7923144046542,482,1
139.629143170984,35.69692216077,483,3
139.993359245305,35.8062575239457,484,5
139.862649962345,35.7535356936668,485,8
139.619576209799,35.6511194471086,486,7
140.122146978239,35.722604845761,487,6
139.698428687215,35.6398297103824,488,7
139.65082210699,35.5609883974311,489,7
139.394350812866,35.8597656544163,490,1
139.888542829352,35.8582924597504,491,5
139.915126295272,35.7413470405552,492,8
139.494649699179,35.3597227698478,493,4
139.448488524561,35.5134911506639,494,4
139.425358507836,35.4816685373702,495,4
139.311781712637,35.7704937161432,496,1
139.612576326571,35.4508756952225,497,10
140.149676183115,35.7310504395907,498,6
139.628150455993,35.7824523294267,499,3
140.15625796445,35.6713035100738,500,6
139.337202014031,35.3287825191298,501,4
139.556964166769,35.3111155333415,502,10
139.56104266759,35.4778451285235,503,10
139.827389496007,35.8230171061064,504,8
139.679454297226,35.7344568637881,505,3
139.768570861514,35.7719526113393,506,8
139.304805302468,35.5926466011245,507,9
139.612337116425,35.4548268355367,508,10
139.365791408219,35.5982974836844,509,9
139.719567513102,35.6112690485046,510,7
139.368431194455,35.4722888087982,511,4
139.768180355603,35.9525177589274,512,2
139.643423266601,35.4937176158365,513,10
140.067551157845,35.6873397894111,514,6
139.756042170841,35.6429119208652,515,7
139.524117282623,35.348268644542,516,10
139.801780510946,35.7543251280618,517,8
139.686206616272,35.5285008191861,518,7
139.720375158016,35.7814672134532,519,3
139.703899345829,35.6112673666436,520,7
139.563317894015,35.477697612812,521,10
139.615904694854,35.9117456450579,522,2
139.749893919795,35.969813096496,523,2
139.708339812482,35.8021444340766,524,3
139.701315401418,35.7688582390589,525,3
139.605278349873,35.7869239727203,526,3
139.375814637336,35.6634608472162,527,9
139.741049556549,35.712584725957,528,3
139.644487075607,35.5434565795275,529,7
139.657542765764,35.718141275356,530,3
139.764261677291,35.7789993228737,531,8
139.624305265873,35.6501699869384,532,7
139.667654502048,35.494879059868,533,7
139.709478207609,35.6480838835487,534,7
139.967755544079,35.8426300148025,535,5
139.476411324608,35.6979238462639,536,9
139.753862673596,35.7470964918089,537,8
139.601194864561,35.7897573960551,538,3
139.731799304462,35.6737138302068,539,3
139.445391821848,35.5549450245161,540,9
139.659181134844,35.7412986905787,541,3
139.340354485691,35.7743479527517,542,1
139.610346409937,35.6754524947285,543,3
139.673540556117,35.6181799962563,544,7
139.387686129107,35.9534061880814,545,1
139.405892078898,35.5025235746026,546,4
139.80603663389,35.6679394214704,547,8
139.658828981346,35.7390335290072,548,3
139.909554115098,35.841316027993,549,5
139.722527709958,35.5622177127238,550,7
139.700626513002,35.7550787694623,551,3
139.656054520347,35.7676338166909,552,3
139.270255682788,36.0572851227374,553,1
139.38436161943,35.6925723899118,554,9
139.543775037848,35.4627886215872,555,10
139.502869079105,35.5884951283078,556,9
139.531417865971,35.514572942333,557,10
139.646952957718,35.7625126328558,558,3
139.605094882596,35.6082142964535,559,7
139.919359772532,35.8290236691811,560,5
139.785689136758,35.6364979765395,561,8
139.418490401267,35.5320210930874,562,9
139.578922690409,35.3761264798017,563,10
139.809773172912,35.9916400383387,564,2
139.844148513434,35.7615037989751,565,8
